split,file,feature,norm,exact,max_abs_error
train,features__cam-05_uid-14_take-02_aug-03_norm.npz,position_y_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-02_aug-03_norm.npz,position_z_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-02_aug-03_norm.npz,position_z_relative_to_pelvis,norm_2026-09-22.npz,False,0.358978271484375
train,features__cam-05_uid-14_take-02_aug-03_norm.npz,position_z_relative_to_pelvis,norm_2026-09-23.npz,False,0.23241591453552246
train,features__cam-05_uid-14_take-02_aug-03_norm.npz,position_z_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-02_aug-03_norm.npz,joint_angles,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-02_aug-03_norm.npz,joint_angles,norm_2026-09-22.npz,False,0.5554652214050293
train,features__cam-05_uid-14_take-02_aug-03_norm.npz,joint_angles,norm_2026-09-23.npz,False,0.616004467010498
train,features__cam-05_uid-14_take-02_aug-03_norm.npz,joint_angles,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-05_uid-14_take-02_aug-03_norm.npz,polar_elevation,norm_2026-09-20.npz,False,
train,features__cam-05_uid-14_take-02_aug-03_norm.npz,polar_elevation,norm_2026-09-22.npz,False,0.5316095352172852
train,features__cam-05_uid-14_take-02_aug-03_norm.npz,polar_elevation,norm_2026-09-23.npz,False,0.4036679267883301
train,features__cam-05_uid-14_take-02_aug-03_norm.npz,polar_elevation,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,distance_from_center,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,distance_from_center,norm_2026-09-22.npz,False,1.4896248579025269
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,distance_from_center,norm_2026-09-23.npz,False,1.5774506330490112
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,distance_from_center,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,position_x_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,position_x_relative_to_pelvis,norm_2026-09-22.npz,False,0.7725024223327637
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,position_x_relative_to_pelvis,norm_2026-09-23.npz,False,0.4698910713195801
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,position_x_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,position_y_relative_to_pelvis,norm_2026-09-20.npz,False,
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,position_y_relative_to_pelvis,norm_2026-09-22.npz,False,0.5964231491088867
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,position_y_relative_to_pelvis,norm_2026-09-23.npz,False,0.49787187576293945
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,position_y_relative_to_pelvis,norm_mirrored_2026-09-24.npz,True,0.0
