frame_index,X_pose,X_step
20,"[-1.2266663312911987, -0.8831179141998291, 0.4835704267024994, 1.2333024740219116, -1.8124696016311646, -2.4470608234405518, -4.588800430297852, -5.149026870727539, -0.315045565366745, -0.05336787551641464, -0.06787017732858658, -0.05593724548816681, -0.01781439036130905, -0.12256412953138351, 0.08052053302526474, -0.0012977010337635875, 0.7328349351882935, -0.21306627988815308, 1.0544404983520508, -0.2159528285264969, 0.12235903739929199, 0.12204539775848389, 0.17082630097866058, 0.11838360130786896, 0.0747932642698288, -0.07799403369426727]","[1.0, 4.451109003525203e-24, 0.0, 0.0]"
21,"[-1.2009025812149048, -0.890171468257904, 0.4928836524486542, 1.2378928661346436, -1.853548526763916, -2.449463367462158, -6.65310001373291, -5.603048324584961, -0.33027398586273193, 0.04025799408555031, -0.15292009711265564, -0.15632368624210358, 0.1519429087638855, -0.01897292397916317, -0.03082733042538166, 0.6775675415992737, 0.31015080213546753, 0.4310312271118164, -0.052866380661726, -0.1026655063033104, -0.055146656930446625, 0.6854496002197266, 0.46092694997787476, -0.0759429782629013, 0.10622283816337585, 0.05889604240655899]","[1.0, 5.1513788569376324e-24, 0.0, 0.0]"
22,"[-1.2943027019500732, -0.9318385124206543, 0.4158191680908203, 1.248610258102417, -1.6137605905532837, -2.2072765827178955, -6.507760524749756, -5.6014604568481445, -0.19841231405735016, -0.07575612515211105, -0.1256849467754364, -0.08719971776008606, -0.11904682964086533, 0.049347974359989166, 0.037016380578279495, 0.48817184567451477, 0.786722719669342, 0.6916027069091797, 1.927436113357544, 0.15120334923267365, 1.2008519172668457, 0.1820725053548813, 0.19458822906017303, 0.3790116608142853, 0.06617514789104462, 0.37616968154907227]","[1.0, 5.96181826336006e-24, 0.0, 0.0]"
23,"[-1.3218542337417603, -0.9538336992263794, 0.30915945768356323, 1.185456395149231, -1.5473054647445679, -2.170145273208618, -6.026193618774414, -5.609926223754883, -0.18628843128681183, 0.6723273992538452, 0.607389509677887, 0.43529823422431946, -0.0278091449290514, 0.0573648177087307, 0.12030623853206635, 1.1755717992782593, 1.5517486333847046, 0.7203963398933411, 1.0306442975997925, 0.2955607771873474, 0.43560275435447693, 0.06531065702438354, 0.4540937840938568, 0.22556963562965393, 0.3807957172393799, 0.17764829099178314]","[1.0, 6.899760863462907e-24, 0.0, 0.0]"
24,"[-1.3251581192016602, -1.0049632787704468, 0.33708906173706055, 1.1358156204223633, -1.5493565797805786, -2.0785443782806396, -6.431341171264648, -5.60659122467041, -0.29180672764778137, 0.7848045825958252, 0.757549524307251, 0.49643898010253906, -0.11497152596712112, -0.06261561810970306, 0.2727733850479126, 1.4960449934005737, 0.02161017432808876, 0.2961607873439789, -0.07759638875722885, 0.4521704614162445, 0.11743678897619247, 0.5803619027137756, -0.04980746656656265, 0.13000069558620453, 0.203813835978508, 0.00394287146627903]","[1.0, 7.985263445761417e-24, 0.0, 0.0]"
25,"[-1.319688320159912, -1.044379711151123, 0.3265897333621979, 1.0458464622497559, -1.5621761083602905, -1.997467279434204, -6.148341178894043, -5.51677942276001, -0.3145526349544525, 0.029791899025440216, -0.007347639184445143, 0.08652682602405548, 0.08337733894586563, -0.08102968335151672, -0.15104317665100098, -0.16469308733940125, -0.16027435660362244, -0.33115726709365845, 0.8969801664352417, 0.5415509939193726, 0.41614070534706116, 0.3910263478755951, 0.012760437093675137, 0.17463800311088562, 0.2628962993621826, -0.018059780821204185]","[1.0, 9.241543369987604e-24, 0.0, 0.0]"
26,"[-1.3793201446533203, -1.0621615648269653, 0.31298989057540894, 1.0167330503463745, -1.452599287033081, -1.8949049711227417, -5.795521259307861, -5.035547256469727, -0.25581714510917664, -0.1334768831729889, -0.032927006483078, 0.024785561487078667, 0.051035311073064804, 0.030367517843842506, -0.14253972470760345, 0.6723111867904663, 0.8541547656059265, 0.20802851021289825, 1.0657397508621216, 0.050616808235645294, 0.4553539752960205, 0.33177313208580017, -0.09979014098644257, 0.05238279700279236, 0.16788466274738312, 0.16850990056991577]","[1.0, 1.0695466871990578e-23, 0.0, 0.0]"
27,"[-1.343979835510254, -1.1263904571533203, 0.4073250889778137, 0.9889675974845886, -1.370718002319336, -1.7692991495132446, -5.856889247894287, -4.973588943481445, -0.3416815400123596, -0.003924982156604528, 0.030801190063357353, 0.03947730362415314, 0.14947053790092468, 0.07319609820842743, -0.08752882480621338, 0.20333820581436157, 0.5720692873001099, 2.461904525756836, -0.05283605679869652, 0.3236541152000427, -0.15580923855304718, 0.23843136429786682, -0.07885150611400604, -0.1024399846792221, 0.0015509235672652721, -0.02631269581615925]","[1.0, 1.2378128482071438e-23, 0.0, 0.0]"
28,"[-1.3516254425048828, -1.1391267776489258, 0.46959999203681946, 1.0375081300735474, -1.2990503311157227, -1.7336758375167847, -6.643903732299805, -5.406519412994385, -0.33440864086151123, -0.16823320090770721, -0.14992330968379974, -0.14042632281780243, -0.09664146602153778, -0.10259105265140533, -0.07417801767587662, -0.07509540766477585, 0.8064754009246826, 2.2750661373138428, 0.9571467638015747, 0.10214225947856903, -0.08114996552467346, 0.2749328315258026, 0.13763181865215302, -0.043328750878572464, -0.10029390454292297, -0.08670799434185028]","[1.0, 1.432551524586546e-23, 0.0, 0.0]"
29,"[-1.4049850702285767, -1.1785677671432495, 0.4304805397987366, 1.074410319328308, -1.107219934463501, -1.5279197692871094, -6.918338775634766, -5.588394641876221, -0.23982097208499908, 0.01640785112977028, 0.005815161857753992, 0.024995794519782066, 0.05071771517395973, -0.10034283995628357, -0.07572861760854721, 0.2859087884426117, 0.1429915577173233, -0.3255801796913147, 1.2381620407104492, -0.09641314297914505, 0.13224996626377106, 1.0539956092834473, -0.07940112799406052, 0.09502201527357101, -0.018841063603758812, -0.08901224285364151]","[1.0, 1.6579273497141975e-23, 0.0, 0.0]"
